Unused functions :

Strip   pad
   32     0 __deregister_frame in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(frame.o)[32]
   48     0 __register_frame_table in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(frame.o)[30]
   48     0 __register_frame in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(frame.o)[28]
   40     0 __register_frame_info in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(frame.o)[27]
   56     0 __negsf2 in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[21]
  136     4 fptosi in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[19]
  184     0 sitofp in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[18]
   72     4 fpcmp in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[17]
  272     4 __fpcmp_parts_f in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[16]
  352     0 fpdiv in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[15]
  496     4 fpmul in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[14]
   96     4 fpsub in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[13]
   88     0 fpadd in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[12]
  560     4 _fpadd_parts in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(fp-bit.o)[11]
   56     0 __negdf2 in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(dp-bit.o)[22]
   80     4 __do_global_dtors in D:\usr\local\sce\ee\gcc\lib\gcc-lib\ee\2.95.3\libgcc.a(__main.o)[10]
   72     4 ExecOSD in D:\usr\local\sce\ee\lib\libkernl.a(exit.o)[24]
  112     0 ExecPS2 in D:\usr\local\sce\ee\lib\libkernl.a(exit.o)[18]
   48     4 GetSystemCallEntry in D:\usr\local\sce\ee\lib\libkernl.a(initsys.o)[18]
   16     0 Copy in D:\usr\local\sce\ee\lib\libkernl.a(initsys.o)[16]
  256    28 _kTLBException in D:\usr\local\sce\ee\lib\libkernl.a(tlbtrap.o)[8]
   16     0 ExpandScratchPad in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[36]
   16     0 iProbeTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[35]
   16     0 ProbeTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[34]
   16     0 iGetTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[33]
   16     0 GetTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[32]
   16     0 iSetTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[31]
   48     0 SetTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[30]
   16     0 iPutTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[28]
   16     0 PutTLBEntry in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[27]
   96     0 SetTLBHandler in D:\usr\local\sce\ee\lib\libkernl.a(tlbfunc.o)[11]
   40     0 sceSifIsAliveIop in D:\usr\local\sce\ee\lib\libkernl.a(iopreset.o)[16]
  216     4 sceSifSetIopAddr in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[38]
  232     4 sceSifGetIopAddr in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[37]
   40     0 sceSifLoadElf in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[36]
   24     4 sceSifLoadElfPart in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[35]
  256     4 _sceSifLoadElfPart in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[34]
   24     4 sceSifLoadStartModule in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[33]
   24     4 sceSifLoadStartModuleBuffer in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[30]
   24     4 sceSifLoadModuleBuffer in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[29]
  144     0 sceSifSearchModuleByAddress in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[28]
  160     0 sceSifSearchModuleByName in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[26]
  144     0 sceSifUnloadModule in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[25]
  520     0 sceSifStopModule in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[24]
  520     0 _sceSifLoadModuleBuffer in D:\usr\local\sce\ee\lib\libkernl.a(eeloadfile.o)[22]
  120     4 sceSifQueryBlockSize in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[25]
  120     4 sceSifQueryBlockTopAddress in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[24]
  112     0 sceSifQueryTotalFreeMemSize in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[23]
  112     0 sceSifQueryMemSize in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[21]
  240     0 sceSifLoadIopHeap in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[19]
  128     0 sceSifAllocSysMemory in D:\usr\local\sce\ee\lib\libkernl.a(iopheap.o)[16]
  456     0 sceReadlink in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[82]
  480     0 sceSymlink in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[81]
  568     0 sceDevctl in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[80]
  568     0 sceLseek64 in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[79]
   24     4 sceUmount in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[78]
  616     4 sceMount in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[77]
  408     0 sceSync in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[76]
   24     4 sceChdir in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[75]
  496     0 sceRename in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[74]
  568     4 sceChstat in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[73]
  416     0 sceGetstat in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[72]
  344     0 sceDread in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[71]
  360     0 sceDclose in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[70]
  200     0 sceDopen in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[69]
   24     4 sceDelDrv in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[68]
  288     0 sceAddDrv in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[67]
  616     4 sceFormat in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[66]
   24     4 sceRmdir in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[65]
  424     4 sceMkdir in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[64]
   24     4 sceRemove in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[63]
  416     4 _sceCallCode in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[62]
  472     4 sceIoctl2 in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[61]
  880     4 sceIoctl in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[60]
  704     0 sceWrite in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[58]
  152     0 scePowerOffHandler in D:\usr\local\sce\ee\lib\libkernl.a(filestub.o)[30]
   64     0 sceSifRpcLoop in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[51]
  448     4 sceSifExecRequest in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[49]
   88     0 sceSifGetNextRequest in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[48]
  144     0 sceSifRemoveRpcQueue in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[47]
